date;Nb(#);Duration;Amplitude;Magnitude;E(J);Longitude;Latitude;Depth;Type;File;LocMode;LocType;Projection;Operator;Timestamp;ID
20180908 124109.48;1;2.94;Faible;;;-61.7612;15.9735;0;VOLCTECT;2018/09/08/ovsg2018rrwtwt;manual;not locatable;WGS84;VR;20180908T124109.48;2018-09#223
20180908 130855.14;1;2.16;Faible;-0.209669982;30584.0522525908;-61.66350042;16.04473992;-0.53515625;VOLCTECT;2018/09/08/ovsg2018rrxrwe;manual;earthquake;WGS84;VR;20180908T130855.14;2018-09#237
20180908 131404.20;1;1.98;Faible;-0.5988017449;7976.22474715686;-61.66393115;16.04557306;-0.53515625;VOLCTECT;2018/09/08/ovsg2018rrxwho;manual;earthquake;WGS84;VR;20180908T131404.20;2018-09#238
20180908 200555.62;3;4.02;Faible;;;-61.703;15.979;0;VOLCEMB;2018/09/08/ovsg2018rslnft;manual;not locatable;WGS84;ABU;20180908T200555.62;2018-09#244
20180909 001851.00;1;2.4;Faible;-0.2701188027;24821.1441033053;-61.66328505;16.04369849;-0.7109375;VOLCTECT;2018/09/09/ovsg2018rstxdx;manual;earthquake;WGS84;VR;20180909T001851.00;2018-09#248
20180909 033202.40;1;2.64;Faible;-0.4457803316;13530.9878041041;-61.66393115;16.04473992;-0.65234375;VOLCTECT;2018/09/09/ovsg2018rtahqd;manual;earthquake;WGS84;VR;20180909T033202.40;2018-09#255
20180909 035810.26;1;2.58;Faible;-0.1374639524;39246.7836622083;-61.66350042;16.04473992;-0.53515625;VOLCTECT;2018/09/09/ovsg2018rtbedq;manual;earthquake;WGS84;VR;20180909T035810.26;2018-09#256
20180909 042414.76;1;1.62;Faible;-0.5071344447;10947.0810354873;-61.66350042;16.04390677;-0.65234375;VOLCTECT;2018/09/09/ovsg2018rtcapr;manual;earthquake;WGS84;VR;20180909T042414.76;2018-09#257
20180909 043838.34;1;2.28;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtcnah;manual;earthquake;WGS84;VR;20180909T043838.34;2018-09#258
20180909 050049.62;1;2.82;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtdgdh;manual;earthquake;WGS84;VR;20180909T050049.62;2018-09#259
20180909 052701.68;1;3.18;Faible;-0.4235536662;14610.6487687371;-61.6624236;16.04369848;-0.9453125;VOLCTECT;2018/09/09/ovsg2018rtecsa;manual;earthquake;WGS84;VR;20180909T052701.68;2018-09#250
20180909 053841.70;1;2.64;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtemts;manual;earthquake;WGS84;VR;20180909T053841.70;2018-09#260
20180909 071437.80;1;2.64;Faible;-0.4555621692;13081.4759227148;-61.66306969;16.04432334;-0.65234375;VOLCTECT;2018/09/09/ovsg2018rthrlb;manual;earthquake;WGS84;VR;20180909T071437.80;2018-09#261
20180909 075252.68;1;3.06;Faible;-0.1787368575;34032.5674358958;-61.66350042;16.04432334;-0.41796875;VOLCTECT;2018/09/09/ovsg2018rtiykb;manual;earthquake;WGS84;VR;20180909T075252.68;2018-09#262
20180909 075916.74;1;2.52;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtjdxl;manual;earthquake;WGS84;VR;20180909T075916.74;2018-09#263
20180909 083257.72;1;2.22;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtkgyc;manual;earthquake;WGS84;VR;20180909T083257.72;2018-09#264
20180909 084159.04;2;2.22;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/09/ovsg2018rtkosm;manual;earthquake;WGS84;ABU;20180909T084159.04;2018-09#265
